,Name,Colour,Price in Rouble,Price in Tenge,Evaluation,In stock,Url
0, RDW Office,черный,11691.0,70146.0,4.7,в 25 магазинах,https://www.citilink.ru/product/kompyuter-rdw-office-amd-a8-9600-ddr4-4gb-256gb-ssd-amd-radeon-r7-noos-1456422/
1, RDW Office,черный,12990.0,77940.0,4.4,в 46 магазинах,https://www.citilink.ru/product/kompyuter-rdw-office-amd-a8-9600-ddr4-4gb-256gb-ssd-amd-radeon-r7-noos-1464832/
2, IRU Home 223,черный,42990.0,257940.0,4.7,в 7 магазинах,https://www.citilink.ru/product/kompyuter-iru-home-223-amd-ryzen-3-3100-ddr4-16gb-240gb-ssd-nvidia-gef-1443188/
3, IRU Home 225,черный,51990.0,311940.0,5.0,в 5 магазинах,https://www.citilink.ru/product/kompyuter-iru-home-225-amd-ryzen-5-2600-ddr4-16gb-1000gb-120gb-ssd-nvi-1432740/
4, IRU Home 315,черный,54990.0,329940.0,4.3,в 11 магазинах,https://www.citilink.ru/product/kompyuter-iru-home-315-intel-core-i5-9400f-ddr4-16gb-1000gb-120gb-ssd-1188115/
5, IRU Game 525,черный,62990.0,377940.0,4.8,в 8 магазинах,https://www.citilink.ru/product/pk-iru-game-525-mt-ryzen-5-2600-16gb-1tb-7-2k-ssd120gb-gtx1650-4gb-w10-1417358/
6, ACER Aspire XC-830,черный,14590.0,87540.0,4.0,в 9 магазинах,https://www.citilink.ru/product/pk-acer-aspire-xc-830-cel-j4025d-4gb-ssd128gb-uhdg-600-endless-chernyi-1383066/
7, IRU Home 315,черный,94990.0,569940.0,4.5,в 3 магазинах,https://www.citilink.ru/product/pk-iru-home-315-mt-i5-9400f-16gb-1tb-7-2k-ssd240gb-rtx2060-6gb-w10hsl6-1213731/
8, ACER Aspire XC-830,черный,20990.0,125940.0,,в 3 магазинах,https://www.citilink.ru/product/pk-acer-aspire-xc-830-cel-j4025d-4gb-ssd128gb-uhdg-600-cr-w10h-chernyi-1383070/
9, IRU Home 315,черный,54990.0,329940.0,5.0,в 2 магазинах,https://www.citilink.ru/product/pk-iru-home-315-mt-i5-9400f-8gb-1tb-7-2k-ssd240gb-gtx1650-4gb-w10hsl64-1418907/
10, IRU Office 313,черный,34990.0,209940.0,,в 3 магазинах,https://www.citilink.ru/product/kompyuter-iru-office-313-intel-core-i3-9100f-ddr4-8gb-240gb-ssd-nvidia-1175797/
11, ACER Aspire XC-895,черный,35990.0,215940.0,5.0,в 6 магазинах,https://www.citilink.ru/product/pk-acer-aspire-xc-895-sff-i5-10400-8gb-1tb-uhdg-630-cr-w10-chernyi-1405407/
12, IRU Office 313,черный,28020.0,168120.0,,в 5 магазинах,https://www.citilink.ru/product/kompyuter-iru-office-313-intel-core-i3-9100f-ddr4-8gb-480gb-ssd-nvidia-1440804/
13, ACER Aspire XC-895,черный,35490.0,212940.0,4.7,в 5 магазинах,https://www.citilink.ru/product/pk-acer-aspire-xc-895-sff-i5-10400-8gb-ssd256gb-uhdg-630-cr-endless-ch-1405403/
14, ACER Aspire TC-390,черный,29990.0,179940.0,4.7,в 10 магазинах,https://www.citilink.ru/product/pk-acer-aspire-tc-390-mt-ryzen-3-3200g-8gb-1tb-7-2k-vega-8-w10h-cherny-1381462/
15, APPLE Mac mini MGNR3RU/A,серебристый,74590.0,447540.0,4.7,в 346 пунктов,https://www.citilink.ru/product/kompyuter-apple-mac-mini-mgnr3ru-a-apple-m1-8gb-256gb-ssd-macos-serebr-1441976/
16, IRU Office 315,черный,34990.0,209940.0,5.0,в 10 магазинах,https://www.citilink.ru/product/pk-iru-office-315-mt-i5-9400f-8gb-1tb-7-2k-ssd240gb-gt710-1gb-dos-cher-1418009/
17, ACER Aspire XC-895,черный,42590.0,255540.0,,в 5 магазинах,https://www.citilink.ru/product/pk-acer-aspire-xc-895-sff-i5-10400-8gb-1tb-7-2k-ssd256gb-uhdg-630-cr-w-1408272/
18, IRU Office 315,черный,34990.0,209940.0,4.0,в 9 магазинах,https://www.citilink.ru/product/pk-iru-office-315-mt-i5-10400-8gb-ssd240gb-uhdg-630-dos-chernyi-1418687/
19, ACER Aspire XC-895,черный,41590.0,249540.0,,в 5 магазинах,https://www.citilink.ru/product/pk-acer-aspire-xc-895-sff-i5-10400-8gb-1tb-7-2k-ssd128gb-uhdg-630-cr-w-1408270/
