,Name,Colour,Price in Rouble,Price in Tenge,Evaluation,In stock,Url
0,IRBIS MB2380,черный,21990.0,131940.0,5.0,в 10 магазинах,https://www.citilink.ru/product/monoblok-irbis-mb2380-23-8-intel-core-i5-n3350-4gb-500gb-intel-windows-1443677/
1,APPLE iMac MRQY2RU/A,серебристый и черный,148990.0,893940.0,5.0,в 1 магазине,https://www.citilink.ru/product/monoblok-apple-imac-mrqy2ru-a-27-intel-core-i5-8gb-1000gb-amd-radeon-p-1147259/
2,LENOVO IdeaCentre 3 22ADA05,черный,47990.0,287940.0,5.0,в 346 пунктов,https://www.citilink.ru/product/monoblok-lenovo-ideacentre-3-22ada05-21-5-full-hd-ryzen-5-3500u-8gb-ss-1375560/
3,LENOVO IdeaCentre A340-24IWL,черный,45990.0,275940.0,,в 1 магазине,https://www.citilink.ru/product/monoblok-lenovo-ideacentre-a340-24-23-8-full-hd-i5-8gb-ssd256gb-uhdg-d-1377833/
4,IRU Office J2335,белый,40990.0,245940.0,4.5,в 5 магазинах,https://www.citilink.ru/product/monoblok-iru-office-j2335-23-8-amd-ryzen-5-3400g-8gb-240gb-ssd-amd-rad-1212485/
5,APPLE iMac MXWT2RU/A,серебристый и черный,167890.0,1007340.0,,в 5 магазинах,https://www.citilink.ru/product/monoblok-apple-imac-mxwt2ru-a-27-5k-i5-8gb-ssd256gb-pro-5300-4gb-cr-ma-1404781/
6,HP 24-df0091ur,белый,41990.0,251940.0,,в 1 магазине,https://www.citilink.ru/product/monoblok-hp-24-df0091ur-23-8-full-hd-ryzen-3-3250u-8gb-ssd256gb-rgr-cr-1422076/
7,APPLE iMac MHK03RU/A,серебристый и черный,99990.0,599940.0,,в 346 пунктов,https://www.citilink.ru/product/monoblok-apple-imac-mhk03ru-a-21-5-full-hd-i5-7360u-8gb-ssd256gb-iris-1404762/
8,ACER Aspire C22-820,серебристый и черный,35990.0,215940.0,5.0,в 1 магазине,https://www.citilink.ru/product/monoblok-acer-aspire-c22-820-21-5-intel-pentium-silver-j5040-4gb-256gb-1211871/
9,LENOVO IdeaCentre A340-22IGM,черный,34990.0,209940.0,,в 6 магазинах,https://www.citilink.ru/product/monoblok-lenovo-ideacentre-a340-22igm-21-5-full-hd-ps-j5040-4gb-ssd256-1389679/
10,APPLE iMac MXWU2RU/A,серебристый и черный,189990.0,1139940.0,,в 6 магазинах,https://www.citilink.ru/product/monoblok-apple-imac-mxwu2ru-a-27-5k-i5-8gb-ssd512gb-pro-5300-4gb-cr-ma-1404783/
