,Name,Colour,Price in Rouble,Price in Tenge,Evaluation,In stock,Url
0,ACER Aspire 3 A315-23-R5B8,серебристый,35990,215940,4.8,в 3 магазинах,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r5b8-ryzen-5-3500u-8gb-1tb-15-6-fhd-noos-1404159/
1,LENOVO IdeaPad S340-15API,серый,30990,185940,4.9,в 43 магазинах,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-s340-15api-15-6-ips-amd-ryzen-3-3200u-2-6ggc-4g-1154363/
2,LENOVO IdeaPad S340-14API,серый,32990,197940,4.7,в 17 магазинах,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-s340-14api-14-ips-amd-ryzen-3-3200u-2-6ggc-8gb-1153686/
3,ACER Aspire 3 A315-23-R91S,черный,35990,215940,4.7,в 1 магазине,https://www.citilink.ru/product/noutbuk-acer-aspire-3-a315-23-r91s-ryzen-5-3500u-8gb-1tb-15-6-fhd-noos-1404161/
4,ACER Aspire 7 A715-75G-56ZT,черный,59990,359940,4.7,в 5 магазинах,https://www.citilink.ru/product/noutbuk-acer-aspire-7-a715-75g-56zt-15-6-ips-intel-core-i5-9300h-2-4gg-1217407/
5,HP 15s-fq2020ur,серый,34990,209940,4.8,в 3 магазинах,https://www.citilink.ru/product/noutbuk-hp-15s-fq2020ur-15-6-ips-intel-pentium-gold-7505-8gb-512gb-ssd-1442162/
6,APPLE MacBook Air,серебристый,70990,425940,4.2,в 2 магазинах,https://www.citilink.ru/product/noutbuk-apple-macbook-air-mqd32ru-a-13-3-intel-core-i5-5350u-1-8ggc-8g-484748/
7,ASUS VivoBook E410MA-EB008T,синий,21990,131940,4.8,в 10 магазинах,https://www.citilink.ru/product/noutbuk-asus-vivobook-e410ma-eb008t-14-ips-intel-celeron-n4020-4gb-64g-1455149/
8,ACER Aspire 7 A715-75G-73WN,черный,65990,395940,4.7,в 5 магазинах,https://www.citilink.ru/product/noutbuk-acer-aspire-7-a715-75g-73wn-15-6-ips-intel-core-i7-9750h-2-6gg-1217393/
9,LENOVO IP Gaming 3 15ARH05,синий,70990,425940,4.9,в 22 магазинах,https://www.citilink.ru/product/noutbuk-lenovo-ip-gaming-3-15arh05-ryzen-7-4800h-16gb-ssd512gb-gtx-165-1399208/
10,LENOVO IdeaPad S145-15API,черный,32990,197940,4.4,в 46 магазинах,https://www.citilink.ru/product/noutbuk-lenovo-ideapad-s145-15api-15-6-amd-ryzen-3-3200u-2-6ggc-8gb-25-1175019/
