,Name,Colour,Price in Rouble,Price in Tenge,Evaluation,In stock,Url
0,APPLE iPad 2020 32Gb Wi-Fi MYL92RU/A,32GB темно-серый,29900.0,179400.0,5.0,в 44 магазинах,https://www.citilink.ru/product/planshet-apple-ipad-2020-32gb-wi-fi-myl92ru-a-32gb-ios-temno-seryi-1418861/
1,HUAWEI MediaPad M5 Lite 8,4G серый,15990.0,95940.0,4.6,в 40 магазинах,https://www.citilink.ru/product/planshet-huawei-mediapad-m5-lite-8-3gb-32gb-3g-4g-android-9-0-seryi-53-1151507/
2,DIGMA CITI Octa 10,4G черный,11990.0,71940.0,4.1,в 4 магазинах,https://www.citilink.ru/product/planshet-digma-citi-octa-10-4gb-64gb-3g-4g-android-9-0-chernyi-1160440/
3,Детский планшет DIGMA CITI Kids,32GB синий,4990.0,29940.0,4.6,в 1 магазине,https://www.citilink.ru/product/detskii-planshet-digma-citi-kids-32gb-wi-fi-3g-android-9-0-sinii-1158521/
4,LENOVO Tab M10 Plus TB-X606F,128GB серый,17490.0,104940.0,5.0,в 22 магазинах,https://www.citilink.ru/product/planshet-lenovo-tab-m10-tb-x606f-helio-p22t-8c-4gb-128gb-10-3-ips-1920-1210849/
5,SAMSUNG Galaxy Tab A SM-T290,32GB черный,9990.0,59940.0,5.0,в 46 магазинах,https://www.citilink.ru/product/planshet-samsung-galaxy-tab-a-sm-t290-2gb-32gb-android-9-0-chernyi-sm-1159454/
6,APPLE iPad 2020 128Gb Wi-Fi MYLD2RU/A,128GB темно-серый,38900.0,233400.0,4.8,в 47 магазинах,https://www.citilink.ru/product/planshet-apple-ipad-2020-128gb-wi-fi-myld2ru-a-128gb-ios-temno-seryi-1418867/
7,HUAWEI MatePad T8,4G синий,10990.0,65940.0,4.9,в 42 магазинах,https://www.citilink.ru/product/planshet-huawei-matepad-8-snapdragon-425-4c-2gb-32gb-8-ips-1280x800-3g-1381452/
8,LENOVO Yoga Smart Tab YT-X705F,64GB темно-серый,18990.0,113940.0,4.3,в 46 магазинах,https://www.citilink.ru/product/planshet-lenovo-yoga-smart-tab-yt-x705f-4gb-64gb-android-9-0-temno-ser-1170667/
9,DIGMA Optima 8 Z801 4G,4G серебристый,10990.0,65940.0,4.6,в 9 магазинах,https://www.citilink.ru/product/planshet-digma-optima-8-z801-4g-sc9863-8c-4gb-64gb-8-ips-1920x1200-3g-1373917/
10,HUAWEI MatePad T10s,4G темно-синий,16990.0,101940.0,4.8,в 41 магазине,https://www.citilink.ru/product/planshet-huawei-matepad-t10s-kirin-710a-8c-3gb-64gb-10-1-ips-1920x1200-1406375/
11,APPLE iPad 2020 32Gb Wi-Fi MYLA2RU/A,32GB серебристый,29900.0,179400.0,,в 7 магазинах,https://www.citilink.ru/product/planshet-apple-ipad-2020-32gb-wi-fi-myla2ru-a-32gb-ios-serebristyi-1418863/
12,HUAWEI MatePad 10.4,4G серый,24990.0,149940.0,5.0,в 3 магазинах,https://www.citilink.ru/product/planshet-huawei-matepad-10-snapdragon-msm8917-4c-2gb-64gb-9-6-ips-1280-1381456/
13,SAMSUNG Galaxy Tab S6 Lite SM-P610N,64GB серый,23990.0,143940.0,4.0,в 4 магазинах,https://www.citilink.ru/product/planshet-samsung-galaxy-tab-s6-lite-sm-t610n-8c-6gb-128gb-10-4-super-a-1373405/
