,Name,Colour,Price in Rouble,Price in Tenge,Evaluation,In stock,Url
0,XIAOMI Poco X3 128Gb,синий,21990.0,131940.0,4.8,в 44 магазинах,https://www.citilink.ru/product/smartfon-xiaomi-poco-x3-sinii-1426033/
1,XIAOMI Poco X3 128Gb,серый,21990.0,131940.0,4.7,в 47 магазинах,https://www.citilink.ru/product/smartfon-xiaomi-poco-x3-seryi-1426039/
2,XIAOMI Redmi Note 9S 64Gb,серый,14680.0,88080.0,4.6,в 4 магазинах,https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-9s-64gb-seryi-3g-4g-6-67-and10-802-11-a-b-g-1373944/
3,XIAOMI Redmi Note 9S 64Gb,синий аврора,14480.0,86880.0,4.9,в 3 магазинах,https://www.citilink.ru/product/smartfon-xiaomi-redmi-note-9s-64gb-sinii-avrora-3g-4g-6-67-and10-802-1-1373940/
4,XIAOMI Redmi 9 64Gb,серый,12311.0,73866.0,4.8,в 46 магазинах,https://www.citilink.ru/product/smartfon-xiaomi-redmi-9-64gb-4gb-seryi-3g-4g-6-53-and10-wifi-nfc-gps-1391508/
5,XIAOMI Redmi 9C 64Gb,серый,9850.0,59100.0,5.0,в 44 магазинах,https://www.citilink.ru/product/smartfon-xiaomi-redmi-9c-64gb-3gb-seryi-3g-4g-6-53-and10-wifi-nfc-gps-1407129/
6,SAMSUNG Galaxy A51 64Gb,черный,19020.0,114120.0,4.4,в 15 магазинах,https://www.citilink.ru/product/smartfon-samsung-galaxy-a51-64gb-sm-a515f-chernyi-1207774/
7,XIAOMI Redmi 9A 32Gb,зеленый,8990.0,53940.0,4.9,в 28 магазинах,https://www.citilink.ru/product/smartfon-xiaomi-redmi-9a-32gb-zelenyi-1402198/
8,XIAOMI Redmi 9A 32Gb,серый,8990.0,53940.0,4.9,в 16 магазинах,https://www.citilink.ru/product/smartfon-xiaomi-redmi-9a-32gb-seryi-1402120/
9,XIAOMI Poco M3 128Gb,черный,14490.0,86940.0,4.3,в 32 магазинах,https://www.citilink.ru/product/smartfon-xiaomi-poco-m3-chernyi-1459986/
10,APPLE iPhone 11 128Gb,черный,57490.0,344940.0,5.0,в 45 магазинах,https://www.citilink.ru/product/smartfon-apple-iphone-11-mhdh3ru-a-chernyi-1429419/
11,ZTE Blade 20 Smart 128Gb,черный,12690.0,76140.0,4.8,в 49 магазинах,https://www.citilink.ru/product/smartfon-zte-blade-20-smart-128gb-chernyi-1199696/
12,SAMSUNG Galaxy M21 64Gb,черный,16420.0,98520.0,4.5,в 4 магазинах,https://www.citilink.ru/product/smartfon-samsung-galaxy-m21-sm-m215f-64gb-chernyi-3g-4g-6-4-1080x2340-1369917/
13,APPLE iPhone 11 64Gb,черный,51990.0,311940.0,4.0,в 48 магазинах,https://www.citilink.ru/product/smartfon-apple-iphone-11-mhda3ru-a-chernyi-1429412/
14,SAMSUNG Galaxy M31 128Gb,черный,21270.0,127620.0,4.4,в 2 магазинах,https://www.citilink.ru/product/smartfon-samsung-galaxy-m31-sm-m315f-128gb-chernyi-3g-4g-6-4-1080x2340-1380836/
15,SAMSUNG Galaxy A12 64Gb,черный,12880.0,77280.0,4.0,в 48 магазинах,https://www.citilink.ru/product/smartfon-samsung-galaxy-a12-sm-a125f-chernyi-1452254/
16,APPLE iPhone XR 64Gb,черный,45990.0,275940.0,5.0,в 47 магазинах,https://www.citilink.ru/product/smartfon-apple-iphone-xr-mh6m3ru-a-chernyi-1429473/
17,SAMSUNG Galaxy A51 128Gb,черный,22990.0,137940.0,3.6,в 48 магазинах,https://www.citilink.ru/product/smartfon-samsung-galaxy-a51-128gb-sm-a515f-chernyi-1207767/
18,APPLE iPhone SE 2020 64Gb,черный,37430.0,224580.0,5.0,в 35 магазинах,https://www.citilink.ru/product/smartfon-apple-iphone-se-mhgp3ru-a-chernyi-1429464/
19,MOTOROLA G9 Plus 128Gb,синий,18990.0,113940.0,4.7,в 46 магазинах,https://www.citilink.ru/product/smartfon-motorola-g9-plus-xt2087-2-128gb-4gb-sinii-4g-2sim-6-8-1080x24-1405272/
20,APPLE iPhone 11 128Gb,фиолетовый,57490.0,344940.0,5.0,в 34 магазинах,https://www.citilink.ru/product/smartfon-apple-iphone-11-mhdm3ru-a-fioletovyi-1429423/
21,XIAOMI Redmi 9 32Gb,фиолетовый,10740.0,64440.0,4.4,в 48 магазинах,https://www.citilink.ru/product/smartfon-xiaomi-redmi-9-32gb-fioletovyi-1402219/
22,APPLE iPhone 12 128Gb,черный,78990.0,473940.0,3.0,в 47 магазинах,https://www.citilink.ru/product/smartfon-apple-iphone-12-mgja3ru-a-chernyi-1428565/
23,XIAOMI Redmi 9 64Gb,фиолетовый,12311.0,73866.0,5.0,в 45 магазинах,https://www.citilink.ru/product/smartfon-xiaomi-redmi-9-64gb-4gb-fioletovyi-3g-4g-6-53-and10-wifi-nfc-1391488/
