,Name,Colour,Price in Rouble,Price in Tenge,Evaluation,In stock,Url
0,HUAWEI MateBook X EUL-W19P,серебристый,99990,599940,5.0,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-huawei-matebook-x-eul-w19p-i5-10210u-16gb-ssd512gb-2gb-13-ltp-1422371/
1,HUAWEI MateBook X Pro MACHC-WAE9LP,серый,109990,659940,5.0,в 1 магазине,https://www.citilink.ru/product/noutbuk-huawei-matebook-x-pro-machc-wae9lp-i7-10510u-16gb-ssd1tb-mx250-1372006/
2,ACER Swift 3 SF314-42-R24N,серебристый,49990,299940,5.0,в 2 магазинах,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-42-r24n-ryzen-5-4500u-8gb-ssd256gb-14-ips-1374481/
3,ACER Swift 3 SF314-42-R420,серебристый,52990,317940,5.0,в 1 магазине,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-42-r420-ryzen-5-4500u-8gb-ssd512gb-14-ips-1374478/
4,HONOR MagicBook Pro HLYL-WFQ9,серый,74990,449940,5.0,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-honor-magicbook-pro-hlyl-wfq9-ryzen-5-4600h-16gb-ssd512gb-14-1411752/
5,ACER Swift 3 SF314-42-R7GQ,серебристый,60990,365940,5.0,в 1 магазине,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-42-r7gq-ryzen-7-4700u-8gb-ssd512gb-14-ips-1374450/
6,HONOR MagicBook 14 2021,серый,64990,389940,,в 1 магазине,https://www.citilink.ru/product/ultrabuk-honor-magicbook-14-2021-i5-1135g7-8gb-ssd512gb-14-ips-fhd-w10-1499420/
7,ACER Swift 3 SF314-42-R4RZ,серебристый,56990,341940,5.0,в 1 магазине,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-42-r4rz-ryzen-5-4500u-8gb-ssd256gb-14-ips-1374480/
8,ACER Swift 3 SF314-42-R7PA,серебристый,78990,473940,5.0,в 1 магазине,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-42-r7pa-ryzen-7-4700u-16gb-ssd1tb-14-ips-f-1374439/
9,HONOR MagicBook 15 2021,серый,74990,449940,,в 1 магазине,https://www.citilink.ru/product/ultrabuk-honor-magicbook-15-2021-i5-1135g7-16gb-ssd512gb-15-6-fhd-w10-1499422/
10,ACER Swift 3 SF314-42-R3YT,серебристый,70990,425940,5.0,в 1 магазине,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-42-r3yt-ryzen-7-4700u-16gb-ssd1tb-14-ips-f-1374444/
11,ASUS Zenbook UX434FAC-A6313R,серебристый,99990,599940,4.0,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-asus-zenbook-ux434fac-a6313r-14-ips-intel-core-i7-10510u-1-8g-1203726/
12,HONOR MagicBook 14 2021,серый,84990,509940,,в 1 магазине,https://www.citilink.ru/product/ultrabuk-honor-magicbook-14-2021-i7-1165g7-16gb-ssd512gb-14-ips-fhd-w1-1499415/
13,ACER Swift 3 SF314-59-782E,серебристый,74990,449940,,в 1 магазине,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-59-782e-i7-1165g7-16gb-ssd512gb-14-ips-fhd-1415934/
14,HONOR MagicBook 15,серебристый,64990,389940,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-honor-magicbook-15-ryzen-7-3700u-16gb-ssd512gb-15-6-fhd-w10-s-1499429/
15,DELL XPS 17,серебристый,230990,1385940,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-dell-xps-17-i7-10875h-16gb-ssd1tb-rtx-2060-6gb-17-wva-touch-u-1392452/
16,ACER Swift 3X SF314-510G-70SN,синий,84990,509940,,в 1 магазине,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-510g-70sn-14-ips-intel-core-i7-1165g7-16gb-1440081/
17,ACER Swift 3 SF313-53-50G6,серебристый,69990,419940,,в 1 магазине,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf313-53-50g6-13-5-ips-intel-core-i5-1135g7-8gb-1440063/
18,LENOVO Yoga Slim7 14ITL05,серый,82990,497940,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-lenovo-yoga-slim7-14itl05-14-intel-core-i5-1135g7-2-4ggc-16gb-1424453/
19,LENOVO Yoga Slim7 14ITL05,бордовый,89900,539400,,в 346 пунктов,https://www.citilink.ru/product/ultrabuk-lenovo-yoga-slim7-14itl05-14-intel-core-i5-1135g7-2-4ggc-16gb-1424451/
20,ACER Swift 3 SF314-59-53N6,серебристый,69990,419940,,в 1 магазине,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-59-53n6-i5-1135g7-8gb-ssd512gb-14-ips-fhd-1415936/
21,ACER Swift 3 SF314-59-70RG,серебристый,94990,569940,,в 1 магазине,https://www.citilink.ru/product/ultrabuk-acer-swift-3-sf314-59-70rg-i7-1165g7-16gb-ssd512gb-14-ips-fhd-1415931/
